Reporter,Year,Partner,Product,MFNRate,AppliedTariff,TotalTariffLines,IsTraded
United States,2022,China,"020210 - Meat; of bovine animals, carcasses and half-carcasses, frozen",9.92862606,9.92862606,3,No
United States,2022,China,030119 - Other,0,0,1,No
United States,2022,China,"030333 - Fish; sole (solea spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0.227537602,0.227537602,1,Yes
United States,2022,China,"020622 - Offal, edible; of bovine animals, livers, frozen",0,0,1,No
United States,2022,China,030236 - Southern bluefin tuna (Thunnus maccoyii),0,0,1,No
United States,2022,China,030367 - Alaska pollock (Theragra chalcogramma),0,0,1,Yes
United States,2022,China,"020322 - Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",0.332547098,0.332547098,2,No
United States,2022,China,"030211 - Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",0,0,1,No
United States,2022,China,"030345 - Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)",0,0,1,No
United States,2022,China,010639 - Other,1.799999952,1.799999952,1,No
United States,2022,China,"021019 - Meat, preserved; of swine, salted, in brine, dried or smoked, n.e.s. in item no. 0210.1",0.249598905,0.249598905,1,No
United States,2022,China,030323 - Tilapias (Oreochromis spp.),0,0,1,Yes
United States,2022,China,"010290 - Bovine animals; live, other than pure-bred breeding animals",1.100203991,1.100203991,1,No
United States,2022,China,"020727 - Cuts and offal, frozen",4.96628809,4.96628809,1,No
United States,2022,China,030255 - Alaska pollock (Theragra chalcogramma),1.5,1.5,2,No
United States,2022,China,010613 - Camels and other camelids (Camelidae),0,0,1,No
United States,2022,China,020850 - Of reptiles (including snakes and turtles),6.400000095,6.400000095,1,No
United States,2022,China,030292 - Shark fins,0,0,1,No
United States,2022,China,010129 - Other,0,0,1,No
United States,2022,China,"020711 - Not cut in pieces, fresh or chilled",3.367821932,3.367821932,1,No
United States,2022,China,030246 - Cobia (Rachycentron canadum),1.5,1.5,2,No
United States,2022,China,030389 - Other,0,0,1,Yes
United States,2022,China,"020441 - Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",2.540177107,2.540177107,1,No
United States,2022,China,030224 - Turbots (Psetta maxima),0,0,1,No
United States,2022,China,030356 - Cobia (Rachycentron canadum),0,0,1,Yes
United States,2022,China,"020641 - Offal, edible; of swine, livers, frozen",0,0,1,No
United States,2022,China,030242 - Anchovies (Engraulis spp.),0,0,1,Yes
United States,2022,China,030381 - Dogfish and other sharks,0.430539787,0.430539787,1,No
United States,2022,China,010515 - Guinea fowls,1.484375954,1.484375954,1,No
United States,2022,China,"020755 - Other, frozen",1.708001971,1.708001971,1,No
United States,2022,China,030283 - Toothfish (Dissostichus spp.),0,0,1,No
United States,2022,China,010221 - Pure-bred breeding animals,0,0,1,No
